id,answer,image_id,image,user_uid,quiz_id,created_at,updated_at
1121,Sorpresa,6655,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBdjhaIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--be56c130fe5a2d7afadad74fd50de5dc8fbd019b/mafalda_03_481_0_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:01 UTC,2021-08-18 23:25:01 UTC
1122,Otro,6656,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0FhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--c8fd68462274a053abec84a997d3574e27385745/mafalda_03_481_1_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:07 UTC,2021-08-18 23:25:07 UTC
1123,Neutro,6657,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0VhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--35d373477e0429164018ca70eb270dd31ddf61fe/mafalda_03_481_2_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:10 UTC,2021-08-18 23:25:10 UTC
1124,Sorpresa,6658,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ0lhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1fcd6439aee6257fe8a6c3255b7a679c6669a3e9/mafalda_03_481_3_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:12 UTC,2021-08-18 23:25:12 UTC
1125,Otro,6659,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ01hIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--3e67563c1f546e0ca8d4749bbf8892353f14101c/mafalda_03_481_4_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:14 UTC,2021-08-18 23:25:14 UTC
1126,Neutro,6660,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ1FhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--0fef9a7c5bf791bce0005d6905c1164f514326c0/mafalda_03_481_4_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:20 UTC,2021-08-18 23:25:20 UTC
1127,Otro,6661,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ1VhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--9c8e1d76be391ce7773e99f7cc8aa7cae453a7f4/mafalda_03_482_0_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:26 UTC,2021-08-18 23:25:26 UTC
1128,Sorpresa,6662,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ1lhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--93edeceed08c2833842864f11db677764c4d09b1/mafalda_03_482_0_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:30 UTC,2021-08-18 23:25:30 UTC
1129,Neutro,6663,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2NhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--1be155b535e79a24bc675b5efced0eebf27ec53e/mafalda_03_482_1_0.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:38 UTC,2021-08-18 23:25:38 UTC
1130,Neutro,6664,/rails/active_storage/blobs/eyJfcmFpbHMiOnsibWVzc2FnZSI6IkJBaHBBZ2dhIiwiZXhwIjpudWxsLCJwdXIiOiJibG9iX2lkIn19--ef4ccd0633bcaecd323584aa151010bcd93b4b03/mafalda_03_482_1_1.jpg,D7EZxLa4MUWtpCgIVFeMglenura2,15,2021-08-18 23:25:43 UTC,2021-08-18 23:25:43 UTC
